name,hour,flow,Normalized Data,average_value
station1,2024/4/1 0:00,1.253012048,0.125301205,0.13859035074710846
station1,2024/4/1 1:00,1.272727273,0.127272727,0.12039250135421753
station1,2024/4/1 2:00,1,0.1,0.11125519126653671
station1,2024/4/1 3:00,1.142857143,0.114285714,0.11579370498657227
station1,2024/4/1 4:00,1,0.1,0.12781965732574463
station1,2024/4/1 5:00,1,0.1,0.14572112262248993
station1,2024/4/1 6:00,1.303571429,0.130357143,0.14777955412864685
station1,2024/4/1 7:00,1,0.1,0.1303049623966217
station1,2024/4/1 8:00,1.803738318,0.180373832,0.12235252559185028
station1,2024/4/1 9:00,3,0.3,0.12273557484149933
station1,2024/4/1 10:00,8,0.8,0.15826570987701416
station1,2024/4/1 11:00,2,0.2,0.16193096339702606
station1,2024/4/1 12:00,1,0.1,0.14811284840106964
station1,2024/4/1 13:00,3.322368421,0.332236842,0.12769973278045654
station1,2024/4/1 14:00,3,0.3,0.1326129287481308
station1,2024/4/1 15:00,1,0.1,0.1285495012998581
station1,2024/4/1 16:00,2.632653061,0.263265306,0.14957936108112335
station1,2024/4/1 17:00,5,0.5,0.1464085578918457
station1,2024/4/1 18:00,1.916666667,0.191666667,0.12859003245830536
station1,2024/4/1 19:00,1.975609756,0.197560976,0.1508626639842987
station1,2024/4/1 20:00,2.748201439,0.274820144,0.14809319376945496
station1,2024/4/1 21:00,1,0.1,0.13864877820014954
station1,2024/4/1 22:00,1,0.1,0.12056883424520493
station1,2024/4/1 23:00,1.56043956,0.156043956,0.12075775861740112
station1,2024/4/2 0:00,1,0.1,0.13890902698040009
station1,2024/4/2 1:00,1.272727273,0.127272727,0.12031880766153336
station1,2024/4/2 2:00,1.133333333,0.113333333,0.11012139171361923
station1,2024/4/2 3:00,1.142857143,0.114285714,0.11358805000782013
station1,2024/4/2 4:00,1,0.1,0.13134177029132843
station1,2024/4/2 5:00,1,0.1,0.1448056399822235
station1,2024/4/2 6:00,1.303571429,0.130357143,0.15716931223869324
station1,2024/4/2 7:00,2.352941176,0.235294118,0.12606491148471832
station1,2024/4/2 8:00,4,0.4,0.13129159808158875
station1,2024/4/2 9:00,4,0.4,0.12744049727916718
station1,2024/4/2 10:00,10,1,0.12785956263542175
station1,2024/4/2 11:00,1.929292929,0.192929293,0.15636268258094788
station1,2024/4/2 12:00,1.681818182,0.168181818,0.15408994257450104
station1,2024/4/2 13:00,1,0.1,0.13306625187397003
station1,2024/4/2 14:00,4,0.4,0.12997622787952423
station1,2024/4/2 15:00,2,0.2,0.156477689743042
station1,2024/4/2 16:00,2,0.2,0.1341417133808136
station1,2024/4/2 17:00,4,0.4,0.13261182606220245
station1,2024/4/2 18:00,1.916666667,0.191666667,0.13813266158103943
