name,hour,flow,Normalized Data,average_value
station1,2024/4/1 0:00,1.253012048,0.125301205,0.12980368733406067
station1,2024/4/1 1:00,1.272727273,0.127272727,0.12208056449890137
station1,2024/4/1 2:00,1,0.1,0.11021468788385391
station1,2024/4/1 3:00,1.142857143,0.114285714,0.12263286113739014
station1,2024/4/1 4:00,1,0.1,0.13379472494125366
station1,2024/4/1 5:00,1,0.1,0.1444399654865265
station1,2024/4/1 6:00,1.303571429,0.130357143,0.12222166359424591
station1,2024/4/1 7:00,1,0.1,0.13945814967155457
station1,2024/4/1 8:00,1.803738318,0.180373832,0.12208370864391327
station1,2024/4/1 9:00,3,0.3,0.131150484085083
station1,2024/4/1 10:00,8,0.8,0.16175130009651184
station1,2024/4/1 11:00,2,0.2,0.14029978215694427
station1,2024/4/1 12:00,1,0.1,0.13542628288269043
station1,2024/4/1 13:00,3.322368421,0.332236842,0.13150754570960999
station1,2024/4/1 14:00,3,0.3,0.12455932796001434
station1,2024/4/1 15:00,1,0.1,0.14273178577423096
station1,2024/4/1 16:00,2.632653061,0.263265306,0.11641969531774521
station1,2024/4/1 17:00,5,0.5,0.1337941586971283
station1,2024/4/1 18:00,1.916666667,0.191666667,0.11775581538677216
station1,2024/4/1 19:00,1.975609756,0.197560976,0.13627944886684418
station1,2024/4/1 20:00,2.748201439,0.274820144,0.1126582995057106
station1,2024/4/1 21:00,1,0.1,0.12241335213184357
station1,2024/4/1 22:00,1,0.1,0.13739895820617676
station1,2024/4/1 23:00,1.56043956,0.156043956,0.12119040638208389
station1,2024/4/2 0:00,1,0.1,0.1328277736902237
station1,2024/4/2 1:00,1.272727273,0.127272727,0.1267785131931305
station1,2024/4/2 2:00,1.133333333,0.113333333,0.11075787246227264
station1,2024/4/2 3:00,1.142857143,0.114285714,0.12149262428283691
station1,2024/4/2 4:00,1,0.1,0.13464973866939545
station1,2024/4/2 5:00,1,0.1,0.15014876425266266
station1,2024/4/2 6:00,1.303571429,0.130357143,0.11769837141036987
station1,2024/4/2 7:00,2.352941176,0.235294118,0.1320614516735077
station1,2024/4/2 8:00,4,0.4,0.11762263625860214
station1,2024/4/2 9:00,4,0.4,0.13233456015586853
station1,2024/4/2 10:00,10,1,0.15783853828907013
station1,2024/4/2 11:00,1.929292929,0.192929293,0.14359381794929504
station1,2024/4/2 12:00,1.681818182,0.168181818,0.1399402916431427
station1,2024/4/2 13:00,1,0.1,0.14696402847766876
station1,2024/4/2 14:00,4,0.4,0.12555254995822906
station1,2024/4/2 15:00,2,0.2,0.13149014115333557
station1,2024/4/2 16:00,2,0.2,0.1396498829126358
