sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,average_value
0.12474995,0.13586843,0.13577498,0.12731107,0.13263652,0.13197182,0.12375298,0.123394266,0.13050008,0.13207678,0.12980368733406067
0.12640317,0.114738606,0.12329621,0.11749804,0.12545538,0.12676577,0.114243105,0.12389275,0.12876886,0.11974378,0.12208056449890137
0.11179332,0.11441714,0.11681863,0.10697739,0.116173565,0.107859954,0.10519643,0.11358703,0.10246593,0.10685743,0.11021468788385391
0.12190114,0.12296345,0.12193646,0.13151577,0.12530044,0.11795244,0.12450367,0.12874198,0.11221278,0.11930035,0.12263286113739014
0.13447909,0.14460862,0.1385114,0.13983066,0.10831161,0.13851309,0.1364168,0.14148575,0.1295848,0.12620547,0.13379472494125366
0.1585185,0.1283748,0.16999036,0.1711655,0.12488706,0.114976384,0.14892335,0.16631563,0.12895758,0.13229053,0.1444399654865265
0.11349176,0.105486184,0.09289875,0.12640007,0.12527838,0.101030305,0.11869184,0.13034049,0.17477918,0.13381968,0.12222166359424591
0.11082805,0.16184033,0.13878609,0.2061825,0.14399314,0.11918088,0.13918047,0.13802536,0.10962617,0.12693848,0.13945814967155457
0.13488999,0.12717894,0.14470339,0.09794541,0.15309061,0.09294773,0.12528235,0.10457842,0.12913589,0.1110844,0.12208370864391327
0.14411578,0.13757312,0.14296412,0.1029677,0.13493632,0.1153389,0.10630765,0.13996896,0.15093398,0.13639832,0.131150484085083
0.16037332,0.15623625,0.19244526,0.16643973,0.14898878,0.16782606,0.15314478,0.15130045,0.16557801,0.15518036,0.16175130009651184
0.14246531,0.17314683,0.097486176,0.1696049,0.09938022,0.2037487,0.14872044,0.12476785,0.14374709,0.09993034,0.14029978215694427
0.14079416,0.15416975,0.09990048,0.15132053,0.10944964,0.120036386,0.15639225,0.121071756,0.15656342,0.14456445,0.13542628288269043
0.09646009,0.20664221,0.094939925,0.15612839,0.116246924,0.1403203,0.1437402,0.10664568,0.10378749,0.15016414,0.13150754570960999
0.1979851,0.09282591,0.097271286,0.15875284,0.11127192,0.09627261,0.09898038,0.15251724,0.14278635,0.09692967,0.12455932796001434
0.15222189,0.14177576,0.10992938,0.1672592,0.14058132,0.10506567,0.1941224,0.1069956,0.15430485,0.15506172,0.14273178577423096
0.14781697,0.1315324,0.10135801,0.09672634,0.14550453,0.09110549,0.11245305,0.12836604,0.112089895,0.097244315,0.11641969531774521
0.13677585,0.123079054,0.14890336,0.10139213,0.15390474,0.14242573,0.14401408,0.10645272,0.14554775,0.13544613,0.1337941586971283
0.10461649,0.13129938,0.09918578,0.1420812,0.13310885,0.10161971,0.09312471,0.120786995,0.10816074,0.14357442,0.11775581538677216
0.17510346,0.12687024,0.20682387,0.106589355,0.12119142,0.107665785,0.13536137,0.11412714,0.12920101,0.13986072,0.13627944886684418
0.10704647,0.1212952,0.12750769,0.12186049,0.1385471,0.106364116,0.09444269,0.10486989,0.093994364,0.11065495,0.1126582995057106
0.10632127,0.09294523,0.141465,0.13187003,0.12881911,0.09831518,0.15364449,0.11729869,0.10220136,0.15125316,0.12241335213184357
0.104751915,0.13335407,0.14866804,0.1490544,0.14721839,0.13308842,0.14619239,0.14064749,0.124348305,0.14666621,0.13739895820617676
0.14487442,0.105744466,0.11372471,0.11771497,0.12404044,0.104573004,0.10812912,0.120049074,0.1307051,0.14234883,0.12119040638208389
0.13394433,0.129817,0.13489065,0.14241602,0.13081595,0.1342541,0.12891972,0.12919839,0.13101527,0.13300622,0.1328277736902237
0.12225564,0.114786856,0.12924501,0.13365802,0.13480759,0.12842812,0.12877804,0.1239425,0.13053255,0.12135082,0.1267785131931305
0.107566595,0.11268097,0.11291651,0.103501946,0.1104144,0.10586159,0.11792326,0.11232577,0.114641406,0.10974626,0.11075787246227264
0.11315862,0.12354716,0.12263259,0.112641126,0.12669359,0.12711258,0.12067709,0.12701666,0.11668255,0.1247642,0.12149262428283691
0.1425707,0.12923889,0.12973599,0.13795942,0.14576322,0.118148185,0.13861024,0.13214438,0.13382307,0.13850334,0.13464973866939545
0.11900829,0.13707046,0.16996053,0.16635224,0.18721023,0.12790675,0.1571436,0.16213292,0.13557406,0.13912858,0.15014876425266266
0.10736275,0.13013682,0.117662795,0.09745157,0.119839355,0.11080512,0.114540994,0.11721712,0.14140122,0.12056606,0.11769837141036987
0.13693438,0.15197249,0.10457894,0.14064817,0.12810385,0.1617072,0.13323724,0.101992056,0.15615785,0.105282284,0.1320614516735077
0.1365444,0.1036864,0.11960089,0.10756842,0.103216946,0.13095173,0.10835903,0.13637216,0.13147669,0.09844968,0.11762263625860214
0.10749425,0.10576387,0.13797648,0.13885204,0.14746447,0.13869241,0.156126,0.1428812,0.12894127,0.119153544,0.13233456015586853
0.16858266,0.15567085,0.15545149,0.09624602,0.19504206,0.17020074,0.10212664,0.1662435,0.1552585,0.2135628,0.15783853828907013
0.16141638,0.205697,0.11069901,0.16298647,0.18215041,0.093870945,0.10555589,0.1519031,0.15863732,0.10302171,0.14359381794929504
0.14393571,0.12827641,0.13784605,0.14281459,0.14611213,0.102438115,0.15147473,0.19030823,0.098539345,0.15765753,0.1399402916431427
0.28858948,0.15673418,0.10022802,0.092849925,0.11089747,0.09990804,0.20947643,0.09658424,0.20091084,0.113461785,0.14696402847766876
